"_time","sum(counts)","_span"
1613752200,3696032,600
1613752800,3534811,600
1613753400,3429295,600
1613754000,3655125,600
1613754600,3460975,600
1613755200,3444678,600
1613755800,3218474,600
1613756400,3199740,600
1613757000,3430540,600
1613757600,3398649,600
1613758200,3395912,600
1613758800,5361429,600
1613759400,3638488,600
1613760000,3548475,600
1613760600,3525902,600
1613761200,3409142,600
1613761800,3411469,600
1613762400,3223676,600
1613763000,2992457,600
1613763600,2909892,600
1613764200,3219402,600
1613764800,3481766,600
1613765400,6331182,600
1613766000,3526206,600
1613766600,4739188,600
1613767200,3583918,600
1613767800,3674671,600
1613768400,3566470,600
1613769000,3577624,600
1613769600,3639003,600
1613770200,3691341,600
1613770800,3705294,600
1613771400,3442216,600
1613772000,3921972,600
1613772600,3105727,600
1613773200,3190451,600
1613773800,3292964,600
1613774400,3202658,600
1613775000,3214303,600
1613775600,3142091,600
1613776200,3175534,600
1613776800,3376027,600
1613777400,3221917,600
1613778000,3135722,600
1613778600,3192182,600
1613779200,3314175,600
1613779800,3695340,600
1613780400,3429286,600
1613781000,5408269,600
1613781600,3464560,600
1613782200,3374771,600
1613782800,4752845,600
1613783400,3632108,600
1613784000,5467668,600
1613784600,3682862,600
1613785200,3446176,600
1613785800,3621756,600
1613786400,3694944,600
1613787000,3833725,600
1613787600,3947853,600
1613788200,3824204,600
1613788800,3866514,600
1613789400,3825453,600
1613790000,3870000,600
1613790600,4001332,600
1613791200,4009944,600
1613791800,3888297,600
1613792400,3851276,600
1613793000,3920243,600
1613793600,4163977,600
1613794200,4152654,600
1613794800,4112748,600
1613795400,3970779,600
1613796000,3945894,600
1613796600,3841085,600
1613797200,4333632,600
1613797800,4182942,600
1613798400,4218205,600
1613799000,4100154,600
1613799600,3897829,600
1613800200,3888429,600
1613800800,4005769,600
1613801400,4306906,600
1613802000,4207081,600
1613802600,6113387,600
1613803200,4328270,600
1613803800,4086115,600
1613804400,6573321,600
1613805000,4207231,600
1613805600,4028273,600
1613806200,4349989,600
1613806800,4812543,600
1613807400,4028632,600
1613808000,3916537,600
